"ID"	"Label"
"ABS_CENSUS2011_T24_LGA"	"T24 Total Household Income (weekly) by Rent (weekly) (LGA)"
"ABS_CENSUS2011_T17"	"T17 Dwelling Structure and Number of Bedrooms by Number of Persons Usually Resident for Group Ho...."
"ABS_CENSUS2011_B19"	"B19 Voluntary Work for an Organisation or Group by Age by Sex"
"ABS_CENSUS2011_T16"	"T16 Dwelling Structure and Number of Bedrooms by Number of Persons Usually Resident for Family H...."
"ABS_CENSUS2011_B18"	"B18 Core Activity Need for Assistance by Age by Sex"
"ABS_CENSUS2011_T15"	"T15 Dwelling Structure by Number of Persons Usually Resident"
"ABS_CENSUS2011_B17"	"B17 Total Personal Income (weekly) by Age by Sex"
"ABS_CENSUS2011_T14"	"T14 Dwelling Structure by Household Composition and Family Composition"
"ABS_CENSUS2011_B16"	"B16 Highest Year of School Completed by Age by Sex"
"ABS_CENSUS2011_B27_LGA"	"B27 Family Blending (LGA)"
"ABS_CENSUS2011_T19"	"T19 Rent (weekly) by Landlord Type"
"ABS_CENSUS2011_B04_LGA"	"B04 Age by Sex (LGA)"
"ABS_CENSUS2011_T18"	"T18 Tenure Type and Landlord Type by Dwelling Structure"
"ABS_CENSUS2011_B11"	"B11 Proficiency in Spoken English/Language by Year of Arrival in Australia by Sex"
"ABS_CENSUS2011_B10"	"B10 Country of Birth of Person by Year of Arrival in Australia"
"ABS_CENSUS2011_T34_LGA"	"T34 Occupation by Sex (LGA)"
"ABS_CENSUS2011_B45_LGA"	"B45 Occupation by Age by Sex (LGA)"
"ABS_CENSUS2011_B15"	"B15 Type of Educational Institution Attending (Full/Part-Time Student Status by Age) by Sex"
"ABS_CENSUS2011_B27_SA1_SA"	"B27 Family Blending(SA1 SA)"
"ABS_CENSUS2011_T13"	"T13 Type of Educational Institution Attending by Sex"
"ABS_CENSUS2011_B14"	"B14 Religious Affiliation by Sex"
"ABS_CENSUS2011_T12"	"T12 Religious Affiliation by Age"
"ABS_CENSUS2011_B13"	"B13 Language Spoken at Home by Sex"
"ABS_CENSUS2011_T11"	"T11 Proficiency in Spoken English/Language by Age"
"ABS_CENSUS2011_T10"	"T10 Language Spoken at Home by Sex"
"ABS_CENSUS2011_B21_LGA"	"B21 Unpaid Assistance to a Person with a Disability by Age by Sex (LGA)"
"ABS_CENSUS2011_B12"	"B12 Proficiency in Spoken English/Language of Parents by Age of Dependent Children"
"QBIS"	"Business Indicators"
"ABS_CENSUS2011_T26_LGA"	"T26 Family Composition by Income Comparison for Parents/Partners (LGA)"
"ABS_CENSUS2011_B29_LGA"	"B29 Number of Motor Vehicles by Dwellings (LGA)"
