"ID"	"Label"	"Dataset"
1	"Value Added by Industry (A) (Q)"	"GDPbyIndustry"
5	"Value Added by Industry as a Percentage of Gross Domestic Product (A) (Q)"	"GDPbyIndustry"
6	"Components of Value Added by Industry (A)"	"GDPbyIndustry"
7	"Components of Value Added by Industry as a Percentage of Value Added (A)"	"GDPbyIndustry"
8	"Chain-Type Quantity Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
9	"Percent Changes in Chain-Type Quantity Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
10	"Real Value Added by Industry (A) (Q)"	"GDPbyIndustry"
11	"Chain-Type Price Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
12	"Percent Changes in Chain-Type Price Indexes for Value Added by Industry (A) (Q)"	"GDPbyIndustry"
13	"Contributions to Percent Change in Real Gross Domestic Product by Industry (A) (Q)"	"GDPbyIndustry"
14	"Contributions to Percent Change in the Chain-Type Price Index for Gross Domestic Product by Industry (A) (Q)"	"GDPbyIndustry"
15	"Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
16	"Chain-Type Quantity Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
17	"Percent Changes in Chain-Type Quantity Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
18	"Chain-Type Price Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
19	"Percent Changes in Chain-Type Price Indexes for Gross Output by Industry (A) (Q)"	"GDPbyIndustry"
20	"Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
21	"Chain-Type Quantity Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
22	"Percent Changes in Chain-Type Quantity Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
23	"Chain-Type Price Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
24	"Percent Changes in Chain-Type Price Indexes for Intermediate Inputs by Industry (A) (Q)"	"GDPbyIndustry"
25	"Composition of Gross Output by Industry (A)"	"GDPbyIndustry"
26	"Shares of Gross Output by Industry (A)"	"GDPbyIndustry"
27	"Cost per Unit of Real Gross Output by Industry Group (A)"	"GDPbyIndustry"
29	"Contributions to Percent Change in Chain-Type Quantity Indexes for Gross Output by Industry Group (A)"	"GDPbyIndustry"
30	"Contributions to Percent Change in Chain-Type Price Indexes for Gross Output by Industry Group (A)"	"GDPbyIndustry"
