"Identifier"	"Title"	"Frequency"	"Period"
"82010NED"	"Zeggenschap bedrijven; banen, grootte"	"Eenmaalperjaar"	"2008 t/m 2011"
"82011NED"	"Zeggenschap bedrijven; banen, SBI 2008"	"Eenmaalperjaar"	"2008 t/m 2011"
"81179ned"	"Zeggenschap bedrijven; banen 2006-2008"	"Stopgezet"	"2006-2008"
"80137ned"	"Arbeidsrekeningen; persoonskenmerken"	"Perjaar"	"2001-2005"
"82579NED"	"Arbeid; bedrijfstak en geslacht"	"Eenmaalperjaar"	"1995 - 2014"
"82575NED"	"Arbeid; kwartalen"	"Perkwartaal"	"1995-2015, kw1 1995-kw1 2015"
"81251ned"	"Banen, afstand woon-werk; regio's"	"Perjaar"	"2006 - 2013"
"80339ned"	"Banen; bedrijfsgrootte, 2006-2009"	"Stopgezet"	"2006 - 2009"
"82049NED"	"Banen en lonen; baankenmerken"	"Pervierjaar"	"2010"
"82074NED"	"Banen en lonen; beroepsniveau"	"Pervierjaar"	"2010"
"82072NED"	"Banen en lonen; onderwijsniveau"	"Pervierjaar"	"2010"
"81252NED"	"Banen, geslacht en leeftijd; regio's"	"Perjaar"	"2006 - 2013"
"81497NED"	"Banen van werknemers; bedrijfsgrootte"	"Perjaar"	"2013"
"81402ned"	"Banen van werknemers; SBI2008, regio"	"Perjaar"	"2013v en 2012nv"
"71814ned"	"Banen van werknemers; SBI'93"	"Eenmalig"	"december 2006, december 2007, december 2008 , december 2009"
"80472ned"	"Vacatures; SBI 2008; totaal"	"Perkwartaal"	"1997 -2014, kw I 1997 - kw I 2015"
"80473ned"	"Vacatures;SBI2008;particuliere bedrijven"	"Perkwartaal"	"1997 - 2014, kw I 1997 - kw I 2015."
"80474ned"	"Vacatures; seizoengecorrigeerd, SBI2008"	"Perkwartaal"	"1e Kwartaal 1997 - 1e kwartaal 2015"
"80567ned"	"Vacatures; vacaturegraad naar SBI 2008"	"Perkwartaal"	"1997 kw 1 - 2015 kw 1"
"80857ned"	"Vacatures; overheid en onderwijs"	"Perkwartaal"	"1997 - 2014, kw I 1997 - kw I 2015."
"80900ned"	"Vacature-indicator"	"Permaand"	"januari 1998 -juni 2015"
"82306NED"	"Buitenland geb. werknemers; (niet)-GBA"	"Perjaar"	"1999-2012"
"82307NED"	"Buitenland geb. werknemers; SBI'08, loon"	"Perjaar"	"2006-2012"
"81431ned"	"Werkgelegenheid; kerncijfers"	"Perjaar"	"2009-2013"
"82206NED"	"Bevolking werkzaam in de afgelopen 4 jr"	"Eenmaalperjaar"	"2000-2004, 2001-2005 enz 2006-2010"
"81462ned"	"Werkgelegenheid; bedrijfsgrootte, cao"	"Perjaar"	"2009-2013"
"81432ned"	"Werkgelegenheid; bedrijfsgrootte SBI2008"	"Perjaar"	"2009-2013"
"81463ned"	"Werkgelegenheid; kenmerken baan, cao"	"Perjaar"	"2009-2013"
"81433ned"	"Werkgelegenheid; kenmerken baan, SBI2008"	"Perjaar"	"2009-2013"
"81464ned"	"Werkgelegenheid; werknemer, cao-sector"	"Perjaar"	"2009-2013"
"81434ned"	"Werkgelegenheid; werknemer, SBI2008"	"Perjaar"	"2009-2013"
"82309NED"	"Arbeidsdeelname; kerncijfers"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82922NED"	"Arbeidsdeelname; binding arbeidsmarkt"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82809NED"	"Arbeidsdeelname; herkomst"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82915NED"	"Arbeidsdeelname; jongeren"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"83031NED"	"Arbeidsdeelname; onderwijsniveau"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82914NED"	"Arbeidsdeelname; ouderen"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82919NED"	"Arbeidsdeelname; paren"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82956NED"	"Arbeidsdeelname; positie huishouden"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82208NED"	"Arbeidsdeelname; regio 2014"	"Perjaar"	"2003 - 2014"
"82953NED"	"Arbeidsdeelname; startkwalificatie"	"Perkwartaal"	"2003 1e kwartaal  2015 1e kwartaal"
"71738ned"	"Arbeidsdeelname (12-uursgrens)"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"80068ned"	"Beroepsbev;provincie vanaf 1981 (12-uur)"	"Eenmaalperjaar"	"1981-2013"
"71882ned"	"Beroepsbevolking; vanaf 1800 (12-uur)"	"Eenmaalperjaar"	"1800 - 2013"
"80808ned"	"Binding arbmarkt; gem. inkomen (12-uur)"	"Eenmaalperjaar"	"2005-2012*"
"83066NED"	"Arbeidsdeelname; wissel arbeidspositie "	"Perkwartaal"	"2003 1e kwartaal-2015 1e kwartaal"
"82848NED"	"Arbeidsdeelname; wisselingen per maand"	"Permaand"	"januari 2003-juni 2015"
"80597ned"	"Baanvinders en -wisselaars (12-uur)"	"Eenmaalperjaar"	"2003-2013"
"80024ned"	"Beroepenmob.; beroepsklassen (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"80029ned"	"Beroepenmobiliteit; kenmerken (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"80556ned"	"Verandering dienstverband (12-uur)"	"Eenmaalperjaar"	"2003-2010"
"80547ned"	"Verandering werkkring (12-uur)"	"Eenmaalperjaar"	"2003-2011"
"81571NED"	"Werknemers; in- en uitstroom uit arbeid"	"Eenmaalperjaar"	"2001-2012"
"80590ned"	"Arbeidsdeelname per maand"	"Permaand"	"Januari 2003 - juni 2015"
"80479ned"	"Arbeidsdeelname per maand (12-uursgrens)"	"Permaand"	"Januari 2003 - Juni 2015"
"81031ned"	"Werkloosheid; baanvindduur (12-uur)"	"Eenmaalperjaar"	"2002-2014"
"81075ned"	"Werkloosheid; werkloosheidsduur"	"Eenmaalperjaar"	"2003-2014"
"71959ned"	"Beroepsbev.; regeling werktijden (12-uur"	"Eenmaalperjaar"	"2001 - 2013"
"71960ned"	"Beroepsbev.; woon-werkverkeer (12-uur)"	"Eenmaalperjaar"	"1996 - 2013"
"82312NED"	"Jongeren; ec. zelfstandig (2005-2012)"	"Perjaar"	"2005-2012"
"71906ned"	"Overwerken;achtergrondkenmerken (12-uur)"	"Eenmaalperjaar"	"2000 - 2013"
"80802ned"	"Vergrijzing beroepsbevolking SBI'93"	"Eenmaalperjaar"	"1960-2014"
"80832ned"	"Vergrijzing beroepsbevolking SBI 2008"	"Eenmaalperjaar"	"2001-2014"
"80809ned"	"Werkzaam; gem. inkomen (12-uur)"	"Eenmaalperjaar"	"2005-2012*"
"71948ned"	"Werknemers; meer/minder werken (12-uur)"	"Eenmaalperjaar"	"1992 - 2013"
"82920NED"	"Werknemers; combibanen"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82647NED"	"Werkzame beroepsbevolking; arbeidsduur"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82807NED"	"Werkzame beroepsbevolking; bedrijf "	"Perkwartaal"	"2003 1e kwartaal - 2013 4e kwartaal"
"82808NED"	"Werkzame beroepsbevolking; beroep"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"82646NED"	"Werkzame beroepsbev.; positie werkkring"	"Perkwartaal"	"2003 1e kwartaal - 2015 1e kwartaal"
"81961NED"	"Arbeid; geboortegeneratie "	"Perjaar"	"2013"
"82433NED"	"Arbeidsparticipatie personen en partner"	"Perjaar"	"geboortegeneratie"
"82148NED"	"Personen met baan; leeftijd, herkomst"	"Pervijfjaar"	"1935/1940 t/m 1995/2000"
"82149NED"	"Personen met uitkering; geboortegen."	"Pervijfjaar"	"1935/1940 - 1999/2000"
"70924NED"	"Arbeidskosten; kerncijfers, SBI'93"	"Eenmaalperjaar"	"Periode 1997 - 2005"
"81037ned"	"Arbeidskosten; bedrijfsgrootte, 2008"	"Stopgezet"	"2008"
"81033ned"	"Arbeidskosten; bedrijfsklasse, 2008"	"Stopgezet"	"2008"
"71245NED"	"Arbeidskosten per bedrijfsklasse; 2004"	"Stopgezet"	"2004"
"70100NED"	"Arbeidskosten per bedrijfsklasse: 2000"	"Stopgezet"	"2000 "
"71246NED"	"Arbeidskosten per bedrijfstak; 2004"	"Stopgezet"	"2004"
