"ID"	"Label"
"ilc_li09b"	"At-risk-of-poverty rate before social transfers (pensions included in social transfers) by house...."
"lfsa_pgaied"	"Population by sex, age and participation in education and training (last 4 weeks) (1 000)"
"ei_isrr_m"	"Retail trade - monthly data - growth rates (NACE Rev. 2)"
"irt_lt_mcby_q"	"EMU convergence criterion series - quarterly data"
"teina230"	"General government gross debt - quarterly data"
"aact_eaa05"	"Economic accounts for agriculture - indices: volume, price, values"
"aact_eaa06"	"Economic accounts for agriculture - agricultural income (indicators A, B, C)"
"aact_eaa01"	"Economic accounts for agriculture - values at current prices"
"lfso_04vahrhwus"	"Average usual working hours of employees, by possibility to work variable hours in the reference...."
"educ_itertp"	"Tertiary education participation"
"aact_eaa02"	"Economic accounts for agriculture - values at n-1 prices"
"aact_eaa03"	"Economic accounts for agriculture - values at constant prices (2005 = 100)"
"aact_eaa04"	"Economic accounts for agriculture - values at real prices"
"tsdpc310"	"Electricity consumption by households"
"fish_pr_ant88"	"Total Fishery Production - Antarctic - Pacific"
"hsw_hp_nuse"	"Work-related health problems in 1999, by sex (Unit: Percentage in each Member State)"
"sts_inppdgr_m"	"Producer prices in industry, domestic market - monthly data, percentage change"
"teina075_r2"	"Compensation of employees - NACE Rev. 2"
"lfsq_etgadc"	"Temporary employees by sex, age and duration of the work contract (1 000)"
"sts_inppdgr_q"	"Producer prices in industry, domestic market - quarterly data, percentage change"
"isoc_pibi_ictbn2"	"Adoption of ICT by businesses (NACE Rev. 2 activity)"
"DS-066341"	"Sold production, exports and imports by PRODCOM list (NACE Rev. 2) - annual data"
"DS-066342"	"Total production by PRODCOM list (NACE Rev. 2) - annual data"
"proj_13nplmv"	"Reduced migration variant - Population on 1st January by sex and single year age"
"inn_cis8_obst"	"Obstacles of innovative and non-innovative enterprises - as highly important and not relevant - ...."
"lc_lci_r1_cow"	"Labour cost index - Country weights"
"teina225"	"General government gross debt - annual data"
"ei_bsbu_m_bc"	"Construction - monthly data"
"road_eqs_roaene"	"Road tractors by type of motor energy"
"inn_cis6_coop"	"Innovation co-operation during 2006-2008"
"sts_intvnd_a"	"Turnover in industry, non domestic market - annual data (2010 = 100)"
"tsdpc320"	"Final energy consumption by sector"
"sts_inppdgr_a"	"Producer prices in industry, domestic market - annual data, percentage change"
"educ_itertc"	"Tertiary education graduates"
"irt_lt_mcby_a"	"EMU convergence criterion series - annual data"
"ef_ov_luob99"	"Land use: number of farms and areas by size of farm (UAA) and objective zone 1999"
"inn_cis7_sucmet"	"Methods stimulating new ideas or creativity"
"tour_dem_tnhd"	"Number of nights spent by type of destination (from 2012 onwards)"
"fish_ca_pac67"	"Catches - North-east Pacific"
"irt_lt_mcby_d"	"EMU convergence criterion series - daily data"
"sts_intvnd_m"	"Turnover in industry, non domestic market - monthly data (2010 = 100)"
"rd_p_perssci"	"Total R&D personnel and researchers by sectors of performance, sex and fields of science"
"inn_c942"	"Hampering factors for innovating enterprises with not even started projects, by size class"
"road_go_ta_dc"	"Annual road freight transport, by distance class (1 000 t, Mio Tkm, Mio Veh-km, 1 000 BTO)"
"inn_c941"	"Hampering factors for innovating enterprises with not even started projects, by NACE Rev. 1.1"
"lfsq_etgaed"	"Temporary employees by sex, age and educational attainment level (1 000)"
"sts_intvnd_q"	"Turnover in industry, non domestic market - quarterly data (2010 = 100)"
"irt_lt_mcby_m"	"EMU convergence criterion series - monthly data"
"cdh_c_neu"	"Non-EU doctorate holders in total doctorate holders (%)"
"fish_ca_pac61"	"Catches - North-west Pacific"
"road_go_ta_dg"	"Annual road freight transport of dangerous goods, by type of dangerous goods and broken down by ...."
"inn_copc"	"Innovation co-operation during 1998-2000 in percentage"
"hlth_hlye_h"	"Healthy Life Years (1995 - 2003)"
"apri_pi95_purchm"	"EC indices of purchase prices of the means of agricultural production (1995 = 100) - monthly data"
"apri_pi95_purcha"	"EC indices of purchase prices of the means of agricultural production (1995 = 100) - annual data"
"teina210"	"General government fixed investment - annual data"
"sbs_r_nuts06_r2"	"SBS data by NUTS 2 regions and NACE Rev. 2 (from 2008 onwards)"
"ei_nagd_q_r2"	"General government deficit (-) and surplus (+) - quarterly data"
"nrg_pc_202_h"	"Gas prices for domestic consumers - bi-annual data (until 2007)"
"lfso_08cobsp"	"Population by country of birth, country of birth of parents, sex, age and labour status (1 000)"
"fish_ca_pac77"	"Catches - East-central Pacific"
"fish_ca_pac71"	"Catches - West-central Pacific"
"cens_01news"	"Population aged 15-74 by sex, age group, current activity status and educational attainment level"
"pat_ep_utec"	"High-tech patent applications to the EPO by priority year by urban-rural typology"
"inn_c931"	"Hampering factors for innovating enterprises with abolished projects, by NACE Rev. 1.1"
"ilc_li06h"	"At-risk-of-poverty rate by poverty threshold and work intensity of the household (source: ECHP)"
"inn_c932"	"Hampering factors for innovating enterprises with abolished projects, by size class"
"hsw_pb5"	"Persons reporting a work-related health problem by sex, age and type of problem"
"hsw_pb7"	"Persons reporting a work-related health problem by sex, age and occupation"
"hsw_pb8"	"Persons reporting a work-related health problem by sex, age and professional status"
"dt_oth_3d52_03"	"Retail trade - operating costs, forms of trading and types of supplier (NACE Rev. 1.1 G52, 5-yea...."
"hsw_pb9"	"Persons reporting a work-related health problem by sex, age and size of enterprise"
"tsdpc340"	"Motorisation rate"
