"ID"	"Title"
"11111BJ001"	"Feststellung des Gebietsstands, Gebietsflche, Deutschland insgesamt, Stichtag"
"11111KJ001"	"Feststellung des Gebietsstands, Gebietsflche, Kreise, Stichtag"
"11111LJ001"	"Feststellung des Gebietsstands, Gebietsflche, Bundeslnder, Stichtag"
"12111B1001"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Stichtag"
"12111B1002"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Nationalitt, Stichtag"
"12111B1003"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Geschlecht, Stichtag"
"12111B1004"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Altersgruppen (u3-75m), Stichtag"
"12111B1005"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Altersgruppen (u18-65m), Stichtag"
"12111B1006"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Familienstand, Stichtag"
"12111B1007"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Nationalitt, Geschlecht, Stichtag"
"12111B1008"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Nationalitt, Altersgruppen (u3-75m), Stichtag"
"12111B1009"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Nationalitt, Familienstand, Stichtag"
"12111B1010"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Geschlecht, Altersgruppen (u3-75m), Stichtag"
"12111B1011"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Geschlecht, Familienstand, Stichtag"
"12111B1012"	"Zensus, Bevlkerung (Zensus), Deutschland insgesamt, Altersgruppen (u18-65m), Familienstand, Stichtag"
"12111L1001"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Stichtag"
"12111L1002"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Nationalitt, Stichtag"
"12111L1003"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Geschlecht, Stichtag"
"12111L1004"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Altersgruppen (u3-75m), Stichtag"
"12111L1005"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Altersgruppen (u18-65m), Stichtag"
"12111L1006"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Familienstand, Stichtag"
"12111L1007"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Nationalitt, Geschlecht, Stichtag"
"12111L1008"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Nationalitt, Altersgruppen (u3-75m), Stichtag"
"12111L1009"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Nationalitt, Familienstand, Stichtag"
"12111L1010"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Geschlecht, Altersgruppen (u3-75m), Stichtag"
"12111L1011"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Geschlecht, Familienstand, Stichtag"
"12111L1012"	"Zensus, Bevlkerung (Zensus), Bundeslnder, Altersgruppen (u18-65m), Familienstand, Stichtag"
"12211B4001"	"Mikrozensus, Bevlkerung, Deutschland insgesamt, Art des Krankenversicherungsverhltnisses, Jahr"
"12211B4002"	"Mikrozensus, Bevlkerung, Deutschland insgesamt, Geschlecht, Art des Krankenversicherungsverhltnisses, Jahr"
"12211B4003"	"Mikrozensus, Bevlkerung, Deutschland insgesamt, Krankenkassen, Jahr"
"12211B4004"	"Mikrozensus, Bevlkerung, Deutschland insgesamt, Geschlecht, Krankenkassen, Jahr"
"12211BJ001"	"Mikrozensus, Bevlkerung (15 bis unter 65 Jahre), Erwerbspersonen, Erwerbsttige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Stichmonat"
"12211BJ002"	"Mikrozensus, Bevlkerung (15 bis unter 65 Jahre), Erwerbspersonen, Erwerbsttige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Geschlecht, Stichmonat"
"12211BJ003"	"Mikrozensus, Bevlkerung, Erwerbspersonen, Erwerbsttige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Altersgruppen (u15-65m), Stichmonat"
"12211BJ004"	"Mikrozensus, Bevlkerung, Erwerbsttige, Erwerbslose, Deutschland insgesamt, Geschlecht, Altersgruppen (u15-65m), Stichmonat"
"12211BJ005"	"Mikrozensus, Bevlkerung, Erwerbsttige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, berwiegender Lebensunterhalt, Stichmonat"
"12211BJ006"	"Mikrozensus, Bevlkerung, Erwerbsttige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Geschlecht, berwiegender Lebensunterhalt, Stichmonat"
"12211BJ007"	"Mikrozensus, Erwerbsttige, Deutschland insgesamt, Altersgruppen (u15-65m), Stellung im Beruf, Stichmonat"
"12211BJ008"	"Mikrozensus, Erwerbsttige, Deutschland insgesamt, Stellung im Beruf, Stichmonat"
"12211BJ009"	"Mikrozensus, Erwerbsttige, Deutschland insgesamt, Geschlecht, Stellung im Beruf, Stichmonat"
"12211BJ010"	"Mikrozensus, Erwerbsttige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Stichmonat"
"12211BJ011"	"Mikrozensus, Erwerbsttige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Geschlecht, Stichmonat"
"12211BJ012"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Stichmonat"
"12211BJ013"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Geschlecht, Stichmonat"
"12211BJ014"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Art des Arbeitsvertrages, Stichmonat"
"12211BJ015"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Geschlecht, Art des Arbeitsvertrages, Stichmonat"
"12211BJ016"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Beschftigungsumfang, Stichmonat"
"12211BJ017"	"Mikrozensus, Abhngig Erwerbsttige, Deutschland insgesamt, Beschftigungsumfang, Geschlecht, Stichmonat"
