"ID"	"Label"
"24_84"	"Marriages - Indicators"
"81_29"	"Interpersonal trust"
"76_177"	"Protests"
"285_245"	"Contributions to GDP growth (percentage points) - quarterly national data  editions prior to Oc...."
"39_494"	"Mortality by territory of residence"
"150_244_TRIM"	"Employment - Quarterly data"
"39_493"	"Mortality by place of registration"
"14_119"	"Private transportation for the provincial capitals"
"149_327"	"Annual gross, net hours, holiday pay and other hours reduction according to collective labour ag...."
"149_319"	"Indicators of bargaining tension - monthly and annual data"
"64_129"	"Reading books in the last 12 months"
"32_31"	"Household assessment on their overall economic resources in the last 12 months - Percentage"
"33_350"	"Housing costs for households with non national members"
"32_32"	"Household assessment on their overall economic situation compared to previous year - Percentage"
"163_144"	"Quarterly national accounts detailed breakdowns by industry (NACE Rev.1.1) (millions of euro) 
- ...."
"32_27"	"Households main income source"
"163_296"	"Quarterly national accounts breakdown by industry (NACE Rev.2) (millions of euro)"
"163_299"	"Costs and margins breakdown by industry (NACE Rev.2)"
"32_223"	"Households main income source"
"32_221"	"Net family income distribution indicators"
"32_224"	"Net family income"
"32_38"	"Household income quintile"
"77_47"	"Notarial deeds"
"39_357_TER_EV"	"Mortality by place of registration"
"92_143"	"Annual national accounts detailed breakdowns by industry (NACE Rev.1.1) (millions of euro) :
- Ou...."
"270_301"	"Employment breakdown by industry (NACE Rev.2) - annual territorial data - editions prior to Octo...."
"115_168"	"Production volume"
"139_176_Q"	"Import and export by country and commodity Nace 2007 - quarterly data"
"84_42"	"Households declaring to live in an area where some problems are very much or quite spread - Perc...."
"150_145_SR"	"Labour force - statistical back-recalculation IV 1992 - IV 2003"
"172_73"	"Supplementary indicators to unemployment"
"120_337"	"Index of retail trade sales - monthly data"
"105_123"	"Total area and production"
"139_176_M"	"Import and export by country and commodity Nace 2007 - monthly data"
"105_127"	"Number of farms and areas"
"173_39"	"Information and communication technologies of the enterprises"
"78_71"	"Women aged 16 - 70 victims of violence committed by partner or ex-partner  (percentage per 100 w...."
"151_311"	"Unemployment rate - monthly data"
"163_184"	"Gross Domestic Product - main aggregates (milions of euro)"
"78_72"	"Women aged 16 - 70 victims of violence committed by men - Percentage"
"151_310"	"Unemployed - monthly data"
"93_500"	"Value added, Compensation of employees, Final consumption expenditure (households and general go...."
"144_35"	"Consumer price index for the whole nation  -  weights (NIC - from 2011 onwards)"
"73_67"	"Crimes reported by the police forces to the judicial authority"
"144_30"	"Consumer price index for blue and white-collar worker households  -  weights (FOI from 2011 onwards)"
"163_24"	"Value added, Compensation of employees, Gross fixed capital formation breakdown, Households fina...."
"163_241"	"Final consumption expenditure of households - quarterly national  data (millions of euro)"
"144_33"	"Consumer price index for the whole nation - monthly data (NIC - from 2011 onwards) - national data"
"149_368"	"Hours worked in enterprises with at least 10 employees - quarterly data"
"77_68"	"Agreements contained in notarial deeds"
"12_60"	"Public water supply use"
"163_247"	"Gross domestic product supply side - quarterly national data (millions of euro)"
"163_246"	"Costs and margins breakdown by industry (NACE Rev.1.1), index numbers 2000=100 - quarterly natio...."
"163_253"	"Gross domestic product and expenditure components - quarterly national data (millions of euro)"
"27_355"	"Marriage dissolution and termination of marriage civil effects (divorces) - Indicators"
"163_250"	"Gross fixed capital formation (P51) - quarterly national data (millions of euro)"
"34_27"	"Households that make ends meet with great difficulty or with difficulty - Percentage"
"155_191_ANN"	"Wages according to collective labour agreements by agreement  - annual data               ."
"32_292"	"Net  family income"
"150_145_TRIM"	"Labour force - Quarterly data"
"34_202"	"Relative poverty indicators"
"25_74"	"Live  births"
"34_201"	"Absolute poverty indicators"
"34_204"	"Household absolute poverty intensity"
"163_257"	"Employment breakdown by industry (NACE Rev.1.1) - quarterly national data (thousands)
- Full time...."
"152_146_ANN"	"Inactive population - annual data"
"150_111_SR"	"Activity rate. Statistical back-recalculation - IV 1992 - IV 2003"
"34_205"	"Household relative poverty intensity"
"144_15"	"Consumer price index for blue and white-collar worker households  -  monthly data (FOI - from 20...."
"151_140_TRIM"	"Unemployment rate.Quarterly data"
"33_225"	"Housing costs"
"30_264"	"Consumer confidence"
"145_193"	"Construction costs index for residential building - monthly data"
"145_194"	"Producer price index for industrial products - monthly data"
"155_318"	"Wages according to collective labour agreements by agreement  - monthly and annual data         ...."
"27_385"	"Divorces - Characteristics of spouses"
"150_312"	"Employment rate - monthly data"
"27_384"	"Separations - Characteristics of spouses"
"163_156"	"Gross domestic product, expenditure components and contribution to GDP growth"
"34_211"	"Absolute poverty threshold"
"34_212"	"Relative poverty threshold"
"34_215"	"Arrears on selected items"
"34_216"	"Ability to save and to face unexpected expenses"
"34_217"	"Some expenditures are a burden"
"34_218"	"Difficulty to purchase some durable goods"
"37_106"	"Smoking habit"
"34_219"	"Households who do not have enough money for selected items"
"151_140_ANN"	"Unemployment rate.Annual data"
"152_152"	"Inactivity rate- seasonally adjusted data"
"150_309"	"Activity rate - monthly data"
"150_308"	"Labour force - monthly data"
"145_376"	"Services producer prices index"
"164_305"	"Estimated resident population - Years 1991-2001"
"165_46"	"Projections - Years 2011-2065 - precensal data"
"175_61"	"Disposable income of the households in the italian regions (million of euro)"
"150_307"	"Employed - monthly data"
