"ID"	"Label"
"AEO11_OVERVIEW_CHAPTER1_FIG3_EN"	"Figure 1.3: Terms of trade in selected resource-rich countries "
"AEO2012_CH6_FIG40"	"Annex I Figure 40: African youth in urban and rural areas by country income"
"SNA_TABLE7_SNA93"	"7. Labour input by activity, SNA93"
"EO80_TRADE"	"Economic Outlook No 80 - December 2006 - Annual Trade and Payments Projections"
"TEC5_REV4"	"V - TEC by commodity groups (CPC) "
"NONTAX"	"Non-tax revenue and grants"
"REGION_LABOUR"	"Regional Labour"
"EO03_VINTAGE"	"Economic Outlook No 03 - June 1968 - Annual Projections for OECD Countries"
"PERS_OCCUP"	"R-D personnel by sector of employment and occupation"
"EO70_TRADE"	"Economic Outlook No 70 - December 2001 - Annual Trade and Payments Projections"
"AEO2012_CH6_FIG37"	"Figure 37: AEO country experts rating of labour regulations as obstacles to youth"
"AEO2012_CH6_FIG36"	"Figure 36: Unemployed and discouraged youth with plans for a business by country income group"
"AEO2012_CH6_FIG39"	"Annex I Figure 39: Education levels among 15-24 year old Africans"
"AEO2012_CH6_FIG38"	"Figure 38: Initiatives targeting youth employment"
"AEO2012_CH6_FIG33"	"Figure 33: Employers expectations are a challenge for youth entering the job market"
"AEO2012_CH6_FIG32"	"Figure 32: Firms offering training to its employees in Africa and the world"
"AEO2012_CH6_FIG35"	"Figure 35: Where do you want to work, assuming equal pay and benefits?"
"AEO2012_CH6_FIG34"	"Figure 34: Self-reported reasons for not working among unemployed and discouraged youth"
"TENURE_AVE"	"Employment by job tenure intervals - average tenure"
"ETCR"	"Regulation in energy, transport and communications 2013"
"ENV_ENVPOL_SVG"	"SVG - Instruments used for environmental policy"
"AEO11_INDEPTH_CHAPTER6_TAB4_PT"	"Tabela 6.4a: Desembolsos brutos de APD (definio CAD/OCDE) de Parceiros Tradicionais, 2009 (mil...."
"BSI"	"Balance sheet and income"
"GENDER_EDU"	"Education"
"G_FUNCTION_AMOUNTS"	"Earmarked Intergovernmental Grants by Function"
"REVAUS"	"Details of Tax Revenue - Australia"
"TEC7_REV4"	" VII - TEC by ownership (domestic or foreign)"
"MON20123_5"	"2012 L) OECD countries : Composition of Producer Support Estimate by country"
"REVAUT"	"Details of Tax Revenue - Austria"
