"ID"	"Title"	"Context"
"AF001EW"	"Members of the Armed Forces by residence type by sex by age"	"Census"
"AF002EW"	"Household Reference Persons (HRPs) who are members of the Armed Forces and  associated persons in households with members of the Armed Forces by sex by age"	"Census"
"AF003EW"	"Economic activity of associated people in households with members of the Armed Forces by sex"	"Census"
"AF004EW"	"Members of the Armed Forces by workplace address by sex by age"	"Census"
"AF005EW"	"Members of the Armed Forces by ethnic group by sex"	"Census"
"AF006EW"	"Members of the Foreign Armed Forces by sex by age"	"Census"
"AP1101EW"	"Sex by five-year age group (non-UK born short-term residents)"	"Census"
"AP1102EW"	"Sex by single year of age (non-UK born short-term residents)"	"Census"
"AP1201EW"	"Country of birth (non-UK born short-term residents)"	"Census"
"AP1202EW"	"Passports held (detailed) (non-UK born short-term residents)"	"Census"
"AP1601EW"	"Economic activity (non-UK born short-term residents)"	"Census"
"CT0010"	"Ethnic group (write-in responses)"	"Census"
"CT0065"	"Proficiency in English by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0066"	"Proficiency in English by year of arrival in the UK by passports held (national)"	"Census"
"CT0067"	"General health by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0068"	"General health by year of arrival in the UK by passports held by age (national)"	"Census"
"CT0069"	"Tenure by year of arrival in the UK by country of birth (national)"	"Census"
"CT0070"	"Tenure by year of arrival in the UK by passports held (national)"	"Census"
"CT0071"	"Highest level of qualification by year of arrival in the UK by country of birth by age (national)"	"Census"
"CT0072"	"Highest level of qualification by year of arrival in the UK by passports held by age (national)"	"Census"
"CT0073"	"Economic activity by year of arrival in the UK by country of birth (national)"	"Census"
"CT0074"	"Economic actvity by year of arrival in the UK by passports held (national)"	"Census"
"CT0075"	"Industry by year of arrival in the UK by country of birth (national)"	"Census"
"CT0076"	"Industry by year of arrival in the UK by passports held (national)"	"Census"
"CT0077"	"Occupation by year of arrival in the UK by country of birth (national)"	"Census"
"CT0078"	"Occupation by year of arrival in the UK by passports held (national)"	"Census"
"CT0144"	"Occupation (full) by industry (full) (national)"	"Census"
"CT0240"	"Usual residents aged 18 and over qualified to vote in the UK Parliamentary general elections"	"Census"
"DC1101EW"	"Marital and civil partnership status by sex by age - Household Reference Persons"	"Census"
