"ID"	"Title"	"Path"
"010_asas_tau_101.px"	"Household-dwelling units by number of persons and type of building 1985-2014"	"asu/asas"
"020_asas_tau_102.px"	"Household-dwelling units and dwelling population by number of persons, by number of rooms and type of building 2005-2014"	"asu/asas"
"022_asas_tau_106.px"	"Household-dwelling units and housing population by housing density 1989-2014"	"asu/asas"
"030_asas_tau_103.px"	"Household-dwelling units by number of persons and type of building and age and sex of the oldest person 2005-2014"	"asu/asas"
"040_asas_tau_104.px"	"Household-dwelling units by number of persons and tenure status 2005-2013"	"asu/asas"
"050_asas_tau_105.px"	"Dwellings by type of building, occupansy and year of construction 31.12.2014"	"asu/asas"
"010_ashi_tau_101.px"	"Indices of prices of existing dwellings 2010=100, quarterly"	"asu/ashi"
"020_ashi_tau_102.px"	"Distributions of prices per square meter of existing dwellings since 2010"	"asu/ashi"
"030_ashi_tau_103.px"	"Indices of prices of dwellings, 1970=100, 1983=100, 2000=100 and 2005=100"	"asu/ashi"
"040_ashi_tau_104.px"	"Prices of existing dwellings by postal code and year of construction"	"asu/ashi"
"050_ashi_tau_105.px"	"Prices and indices of new dwellings from 2010"	"asu/ashi"
"060_ashi_tau_106.px"	"Distributions and numbers of new dwellings from 2005"	"asu/ashi"
"070_ashi_tau_107.px"	"Price index of old dwellings in housing companies 2010=100, monthly"	"asu/ashi"
"080_ashi_tau_108.px"	"Numbers of transactions of dwellings in housing companies by the municipal classification of 2009"	"asu/ashi"
"252_ashi_tau_202.px"	"Indices of prices of existing dwellings 2005=100"	"asu/ashi"
"254_ashi_tau_204.px"	"Distributions of prices per square metre of old dwellings from 2005"	"asu/ashi"
"256_ashi_tau_206.px"	"Prices and indices of new dwellings from 2005"	"asu/ashi"
"258_ashi_tau_208.px"	"Price index of old dwellings in housing companies 2010=100"	"asu/ashi"
"270_ashi_tau_217.px"	"Numbers of transactions of dwellings in housing companies by the municipal classification of 2009"	"asu/ashi"
"ashi_2015_03_2015-04-29_tau_103.px"	"Indices of prices of dwellings, 1970=100, 1983=100, 2000=100 and 2005=100"	"asu/ashi"
"ashi_2015_03_2015-04-29_tau_104.px"	"Prices of existing dwellings by postal code and year of construction"	"asu/ashi"
"010_asvu_2015_01_2015-05-08_tau_110.px"	"Statistics on quarterly rents since 2010"	"asu/asvu"
"010_asvu_tau_110.px"	"Statistics on quarterly rents since 2010"	"asu/asvu"
"040_asvu_tau_140_fi.px"	"Statistics on quarterly rents since 2010"	"asu/asvu"
"010_kihi_tau_103.px"	"Single-family houses index 2005=100"	"asu/kihi"
"020_kihi_tau_105.px"	"Single-family house plots index 2005=100"	"asu/kihi"
"001_oahi_tau_001.px"	"Indices of owner-occupied housing prices 2010=100, revised time series"	"asu/oahi"
"020_oahi_tau_102.px"	"Indices of owner-occupied housing prices 2010=100"	"asu/oahi"
"010_rakke_tau_101.px"	"Number of buildings by intended use and year of construction on 31 Dec.2014"	"asu/rakke"
"020_rakke_tau_102.px"	"Number of buildings by intended use and heating fuel on 31 Dec. 2014"	"asu/rakke"
"030_rakke_tau_103.px"	"Number of free-time residences by region 1970-2014"	"asu/rakke"
"010_akay_tau_101.px"	"Time Use (26 categories) in autumn 1979, 1987 1999 and 2009"	"eli/akay"
"020_akay_tau_102.px"	"Time Use (26 categories) by labour market position in 1987-1988, 1999-2000 and 2009-2010"	"eli/akay"
"023_akay_tau_107.px"	"Time use (26 categories) of employed men by socio-economic group in 1999-2000 and 2009-2010"	"eli/akay"
"030_akay_tau_103.px"	"Time Use (26 categories) by stage in family cycle in 1987-1988, 1999-2000 and 2009-2010"	"eli/akay"
"040_akay_tau_104.px"	"Time Use (82 categories) by sex in 1987-1988, 1999-2000 and 2009-2010"	"eli/akay"
"050_akay_tau_105.px"	"Time Use (82 categories) by age in 1987-1988, 1999-2000 and 2009-2010"	"eli/akay"
"060_akay_tau_106.px"	"Time Use (132 categories) by sex in 1999-2000 and 2009-2010"	"eli/akay"
"065_akay_tau_106.px"	"Visiting the library during the past 12 months by sex and age"	"eli/akay"
"070_akay_tau_107.px"	"Visiting the library during the past 12 months by sex, municipality group and major region, those aged 15 or over"	"eli/akay"
"080_akay_tau_108.px"	"Visiting the library during the past 12 months by sex, education and socio-economic group, those aged 15 or over"	"eli/akay"
"090_akay_tau_109.px"	"Time used for reading by sex and age"	"eli/akay"
"095_akay_tau_105.px"	"Attendance to cultural events"	"eli/akay"
"100_akay_tau_101.px"	"Creative art as a hobby"	"eli/akay"
"010_asen_tau_101.px"	"Consumption of heating energy in residential buildings"	"ene/asen"
"020_ehi_tau_102_en.px"	"Consumer Prices of Domestic Fuels in Energy Production (VAT not included)"	"ene/ehi"
"030_ehi_tau_103_en.px"	"Consumer Prices of Hard Coal and Natural Gas in Heat Production (VAT not included)"	"ene/ehi"
"040_ehi_tau_104_en.px"	"Consumer Prices of Liquid Fuels (includes VAT)"	"ene/ehi"
"050_ehi_tau_105_en.px"	"Price of Electricity by Type of Consumer, c/kWh (Prices include electrical energy, distribution of electricity, and taxes.)"	"ene/ehi"
"060_ehi_tau_106_en.px"	"Price of Natural Gas by Type of Consumer, /MWh (excl. Excise taxes, VAT 0%)"	"ene/ehi"
"070_ehi_tau_107_en.px"	"Price of Natural Gas by Type of Consumer, /MWh (incl. Excise taxes, VAT 0%"	"ene/ehi"
"080_ehi_tau_108_en.px"	"Price of District Heating by Type of Consumer"	"ene/ehi"
"090_ehi_tau_109_en.px"	"Consumer Prices of Wood pellet in Heat Production and Index (VAT included)"	"ene/ehi"
"100_ehi_tau_110_en.px"	"Excise Taxes, Value Added Taxes and Fiscal Charges and Fees Included in Consumer Prices of Some Energy Sources"	"ene/ehi"
"101_ehi_tau_111_en.px"	"Spot prices of the Nordic power exchange, NordPool by price area"	"ene/ehi"
"010_ehk_tau_101_en.px"	"Total Energy Consumption by Source and CO2 Emissions"	"ene/ehk"
"015_ehk_tau_103.px"	"Total energy consumption by source (detailed)"	"ene/ehk"
"020_ehk_tau_102_en.px"	"Supplies and total consumption of electricity, GWh"	"ene/ehk"
"030_ehk_tau_103_en.px"	"Energy import and export by country"	"ene/ehk"
"040_ehk_tau_104_en.px"	"Energy import and export by country, %"	"ene/ehk"
"050_ehk_tau_105_en.px"	"Hard coal and Peat Stocks, month-end"	"ene/ehk"
"060_ehk_tau_106_en.px"	"Energy import and export by country, proportion %"	"ene/ehk"
"070_ehk_tau_107.px"	"Fossil fuels and renewables"	"ene/ehk"
"075_ehk_tau_108.px"	"Consumption of renewable energy sources"	"ene/ehk"
"080_ehk_tau_118.px"	"Final energy consumption by sector"	"ene/ehk"
"090_ehk_tau_109_en.px"	"Production and consumption of district heat"	"ene/ehk"
"100_ehk_tau_110_en.px"	"Electricity consumption"	"ene/ehk"
"110_ehk_tau_111_en.px"	"Electricity generation capacities in peak load period"	"ene/ehk"
"114_ehk_tau_114_en.px"	"Consumption of energy sources in electricity generation by mode of production"	"ene/ehk"
"120_ehk_tau_112_en.px"	"Capacity of Electricity Generation, Nominal Capacity of Production Engines at Beginning of Year"	"ene/ehk"
"130_ehk_tau_113_en.px"	"Heat and power production and energy sources"	"ene/ehk"
"160_ehk_tau_116_en.px"	"Share of renewable energy in gross final energy consumption"	"ene/ehk"
"180_ehk_tau_118_en.px"	"Electricity supply and total consumption in Nordic countries"	"ene/ehk"
"190_ehk_tau_119_en.px"	"Exchange of electricity between the Nordic countries and other countries"	"ene/ehk"
"210_ehk_tau_121_en.px"	"Energy sources in electricity generation"	"ene/ehk"
"220_ehk_tau_220_en.px"	"Supply of electricity by energy source"	"ene/ehk"
"010_kivih_tau_101_en.px"	"Consumption of hard coal"	"ene/kivih"
"020_kivih_tau_102_en.px"	"Hard coal stocks, month-end"	"ene/kivih"
