"ID"	"Title"	"Path"
"LonArb07Privat"	"Average hourly earnings of manual workers in the private sector (KLP) by industrial classification SNI2007 and overtime pay. Month 2008M01 - 2015M05"	"AM/AM0101/AM0101A"
"LonTjanst07Privat"	"Average monthly salary of non-manual workers in the private sector (KLP) by industrial classification SNI2007 and variable supplements. Month 2008M01 - 2015M05"	"AM/AM0101/AM0101B"
"LonTjanstPrivat"	"Average monthly salary of non-manual workers in the private sector (KLP) by industrial classification SNI2002 and variable supplements (no update). Month 1996M01 - 2008M12"	"AM/AM0101/AM0101C"
"LonArbPrivat"	"Average hourly earnings of manual workers in the private sector (KLP) by industrial classification SNI2002 and overtime pay (no update). Month 1996M01 - 2008M12"	"AM/AM0101/AM0101C"
"KLStabell14LpMan"	"Average monthly salary for monthly paid and number of employees in the governmental sector  (KLS) by authority, sex and full-/ part-time. Month 2010M01 - 2015M05"	"AM/AM0102/AM0102A"
"KLStab352007LpMan"	"Average monthly salary for monthly paid and number of employees in the governmental sector (KLS) by industry sector (SNI2007), sex and full-/part-time. Month 2010M01 - 2015M05"	"AM/AM0102/AM0102A"
"KLStab352007"	"Average monthly salary and number of employees in the governmental sector (KLS) by industry sector (SNI2007), sex and full-/part-time. Month 2009M01 - 2011M12"	"AM/AM0102/AM0102B"
"KLStab35"	"Average monthly salary and number of employees in the governmental sector (KLS) by industry sector (SNI92), sex and full-/part-time. Month 2000M01 - 2008M12"	"AM/AM0102/AM0102B"
"KLStabell14"	"Average monthly salary and number of employees in the governmental sector (KLS) by authority, sex and full-/part-time. Month 2000M01 - 2011M12"	"AM/AM0102/AM0102B"
"SLP9a07"	"Average hourly pay, manual workers private sector (SLP) by pay element by industry SNI 2007, type of working time and sex. Year 2008 - 2014"	"AM/AM0103/AM0103A"
"SLP9aKI07"	"Average hourly pay and confidence interval, manual workers private sector (SLP) by region, occupational group (SSYK) and sex. Year 2008 - 2014"	"AM/AM0103/AM0103A"
"SLP7a2"	"Average hourly pay, pay dispersion etc., manual workers private sector (SLP) by educational orientation SUN 2000 and sex. Year 2001 - 2014"	"AM/AM0103/AM0103B"
"SLP8a07"	"Average hourly pay, pay dispersion etc., manual workers private sector (SLP) by industry SNI 2007, educational level (SUN96) and sex. Year 2008 - 2014"	"AM/AM0103/AM0103B"
"SLP11a"	"Average hourly pay and real pay development in the mining and manufacturing  industries, manual workers private sector (SLP) by sex. Year 1952 - 2013"	"AM/AM0103/AM0103D"
"SLP1a"	"Average hourly pay, manual workers private sector (SLP) by region, occupational group (SSYK) and sex. Year 2000 - 2013"	"AM/AM0103/AM0103E"
"SLP2a"	"Average hourly pay, pay dispersion etc., Average hourly pay, manual workers private sector (SLP) by, occupational group (SSYK) and sex. Year 2000 - 2013"	"AM/AM0103/AM0103E"
"SLP3a"	"Average hourly pay, manual workers private sector (SLP) by, occupational group (SSYK) age and sex. Year 2000 - 2013"	"AM/AM0103/AM0103E"
"SLP2aSSYK4"	"Average hourly pay, pay dispersion etc., manual workers private sector (SLP) by region, occupational group (SSYK) and sex. Year 2007 - 2013"	"AM/AM0103/AM0103E"
"SLP1aSSYK4"	"Average hourly pay, manual workers private sector (SLP) by region, occupation (4-digit SSYK) and sex. Year 2007 - 2013"	"AM/AM0103/AM0103E"
"SLP3aSSYK4"	"Average hourly pay, manual workers private sector (SLP) by occupation (4-digit SSYK) and sex. Year 2007 - 2013"	"AM/AM0103/AM0103E"
