"ID"	"Title"	"Statistic"
"1104"	"Population change. Whole country, latest quarter"	"folkendrkv"
"1106"	"Population changes. Municipalities, latest 9 quarters"	"folkendrkv"
"1108"	"Population changes. Municipalities, latest quarter"	"folkendrkv"
"1110"	"Enterprises by industry (NACE) and number of employees. Whole country, latest year"	"foretak"
"1112"	"Enterprises by organisational structure and number of employees. Whole country, latest year"	"foretak"
"1114"	"Credit indicator C2, debt by sector, transctions, 12-month growth.  Latest 3 years"	"k2"
"1116"	"Credit indicator C2. Transactions, by borrower and gross domestic debt, seasonally adjusted, whole dataset. 1987M12 - latest month"	"k2"
"1118"	"Consumer Price index, CPI-AT and CPI-ATE, index and change i %. 1995M01 - latest month"	"kpi"
"1120"	"Export of salmon, fresh and frozen, fish-farm bred. Latest 2 weeks"	"laks"
"1122"	"Export of salmon, fresh and frozen, fish-farm bred. 2000W01 - latest week"	"laks"
"1124"	"Wage index, average monthly earnings, by industry. 2000Q1 - latest quarter"	"lonnkvart"
"1126"	"Wage index, average monthly basic salary, by industry. 2000K1 - latest quarter"	"lonnkvart"
"1128"	"Wage index, by industry. Latest 5 quarters"	"lonnkvart"
"1130"	"Export of goods, value by country. Latest 2 years"	"muh"
"1132"	"Import of goods,  value by country. Latest 2 years"	"muh"
"1134"	"Export of goods, by commodity group (SITC), value and quantity. Latest 13 months"	"muh"
"1136"	"Export of goods,  value by country. Latest 13 months"	"muh"
"1138"	"Import of goods  value, by country. Latest 13 months"	"muh"
"1140"	"Import of goods, by commodity group (SITC), value and quantity. Latest 13 months"	"muh"
"1142"	"Import of goods, HS 00-05 Live animals and animal products. Value and Quantity, latest 13 months"	"muh"
"1144"	"Import of goods, HS 06-07 Plants and vegetables. Value and Quantity, latest 13 months"	"muh"
"1146"	"Import of goods, HS 08-14 Fruit, coffee, cereals and other vegetable products. Value and Quantity, latest 13 months"	"muh"
"1148"	"Import of goods, HS 15 Animal or vegetable fats and oils or their cleavage products. Value and Quantity, latest 13 months"	"muh"
"1150"	"Import of goods, 16-24 Prepared foodstuff, beverage etc. Value and Quantity, latest 13 months"	"muh"
"1152"	"Import of goods, HS 25-27 Mineral products. Value and Quantity, latest 13 months"	"muh"
"1154"	"Import of goods, HS 28-29 Products of the chemical or allied industries. Value and Quantity, latest 13 months"	"muh"
"1200"	"Export of goods HS 08-14 Fruit, coffee, cereals and other vegetable products. Value and Quantity, latest 13 months"	"muh"
"1202"	"Export of goods, HS 00-05 Live animals and animal products. Value and Quantity, latest 13 months"	"muh"
"1204"	"Export of goods, HS 06-07 Plants and vegetables. Value and Quantity, latest 13 months"	"muh"
"1206"	"Export of goods, HS 15 Animal or vegetable fats and oils or their cleavage products. Value and Quantity, latest 13 months"	"muh"
"1208"	"Export of goods, HS 16-24 Prepared foodstuff, beverage etc. Value and Quantity, latest 13 months"	"muh"
"1210"	"Export of goods, HS 25-27 Mineral products. Value and Quantity, latest 13 months"	"muh"
"1212"	"Export of goods, HS 28-29 Products of the chemical or allied industies. Value and Quantity, latest 13 months"	"muh"
"1214"	"Export of goods, HS 30-38 Chemical products, others. Value and Quantity, latest 13 months"	"muh"
"1216"	"Export of goods, HS 39-43 Plastic, rubber, raw hides and skins, leather etc. Value and Quantity, latest 13 months"	"muh"
"1218"	"Export of goods, HS 44-49 Wood and articles of wood and and pulp of wood etc. Value and Quantity, latest 13 months"	"muh"
"1220"	"Export of goods, HS 50-60 Textiles and textile articles. Value and Quantity, latest 13 months"	"muh"
"1222"	"Export of goods, HS 61-67 Clothes, shoes, headwear. Value and Quantity, latest 13 months"	"muh"
"1225"	"Export of goods, HS 68-71 Articles of stone, plaster, cement, mica or similar materials. Value and Quantity, latest 13 months"	"muh"
"1227"	"Export of goods, HS 72-83 Base metals and articles of base metal. Value and Quantity, latest 13 months"	"muh"
"1229"	"Export of goods, HS 84 Non-electric machines. Value and Quantity, latest 13 months"	"muh"
"1231"	"Export of goods, HS 85 Electric motors and generators etc. Value and Quantity, latest 13 months"	"muh"
"1233"	"Export of goods, HS 86-89 Vehicles, aircraft, vessels and associated transport equipment. Value and Quantity, latest 13 months"	"muh"
"1235"	"Export of goods, HS 90-92 Optical, photographic, cinematographic and instruments. Value and Quantity, latest 13 months"	"muh"
"1237"	"Export of goods, HS 93-99 Arms and ammunition and div. products. Value and Quantity, latest 13 months"	"muh"
"1156"	"Import of goods, HS 30-38 Chemical products, others. Value and Quantity, latest 13 months"	"muh"
