"ID"	"Title"
"OGD_f1197_Bev_Jahresdurchschn_1"	"Bevölkerung im Jahresdurchschnitt"
"OGD_f1585_Stud_Abschl_1"	"Studienabschlüsse ordentlich Studierender"
"OGD_umwoekosteu_Oekosteuern_1"	"Ökosteuern ab 1995"
"OGD_vpi10_VPI_2010_1"	"Verbraucherpreisindex Basis 2010"
"OGD_konjidxhan10_Konjunktur_Handel_1"	"Konjunkturindizes Handel Basis 2010"
"OGD_touextsai_Tour_HKL_1"	"Nächtigungsstatistik ab November 1973 - Nächtigungen nach Herkunftsländern und Bundesländern"
"OGD_touextsai_Tour_UA_1"	"Nächtigungsstatistik ab November 1973 - Nächtigungen nach Unterkunftsarten und Bundesländern"
"OGD_f1531neu_Aussenhandel_1"	"Außenhandelsdaten Jährlich"
"OGD_reg_udemo_Unternehmensdemografie_1"	"Unternehmensdemografie"
"OGD_vgr001_VGRJahresR_1"	"VGR-Jahresrechnung"
