"ID"	"Title"
"FOLK1"	"Population at the first day of the quarter"
"FOLK2"	"Population 1. January"
"FOLK3"	"Population 1. January"
"FT"	"Population figures from the censuses"
"BEF5F"	"People born in Faroe Islands and living in Denmark 1. January"
"BEF5G"	"People born in Greenland and living in Denmark 1. January"
"BEF5"	"Population 1. January"
"KM1"	"Population at the first day of the quarter"
"KM5"	"Population 1. January"
"BY1"	"Population 1. January"
"BEF4"	"Population 1. January"
"HISB3"	"Summary vital statistics"
"BEV21"	"Summary vital statistics"
"BEV107"	"Summary vital statistics"
"BEV22"	"Summary vital statistics"
"GALDER"	"Average age"
"FRDK115"	"Population projections 2015 for the country"
"FRLD115"	"Population projections 2015"
"FRKM115"	"Population projections 2015"
"FRDK215"	"Key figures 2015: Summary components of changes according to population projecti"
"FRLD215"	"Key figures 2015: Summary components of changes according to population projecti"
"FRKM215"	"Ngletal 2015: Fremskrivning af befolkningens bevgelser"
"FRDK315"	"Assumptions of fertility for the population projection 2015"
"FRDK415"	"Assumptions of mortality for the population projection 2015"
"FRDK515"	"Assumptions of migrations for the population projection 2015"
"DKSTAT"	"People, who changes into Danish citizenship"
"VAN5"	"Asylum seekers"
"VAN66"	"Residence permits (year)"
"VAN77"	"Residence permits (quarter)"
"VAN8"	"Immigrations"
"FODDAG"	"Live births"
"FOD"	"Live births"
"FODIE"	"Live births"
"BEV3A"	"Live births and deaths"
"KM3"	"Live births and deaths"
"FODP"	"Live births"
"FODL"	"Live births and stillbirths"
"FODV"	"Live births and stillbirths"
"FOD8"	"Single and multiple deliveries"
"FOD9"	"Multiple deliveries"
"FOD11"	"Average age of women given birth and new fathers"
"FOD111"	"Average age of women given birth"
"ABORT"	"Abortions"
"FOD33"	"Fertility rates"
"FERT1"	"Total fertility rates"
"FOD407"	"Fertility rates"
"DODDAG"	"Deaths"
"DOD"	"Deaths"
"FOD207"	"Deaths"
"DOD1"	"Deaths"
"FOD507"	"Deaths"
"DOD2"	"Deaths during first five years of life"
"HISB7"	"Life expectancy for new born babies"
"HISBK"	"Life expectancy for new born babies"
"HISB77"	"Life expectancy for new born babies"
"HISBR"	"Life expectancy for new born babies"
"HISB8"	"Life table (2 years tables)"
"HISB9"	"Life table (5 years tables)"
"FAM55N"	"Households 1. January"
"FAM122N"	"Adults 1. January"
"FAM44N"	"Families 1. January"
"FAM44B"	"Families with children 1. January"
"FAM100N"	"Adults 1. January"
"FAM133N"	"Children 1. January"
"FAM111N"	"Children 1. January"
"BRN10"	"Children and young persons who has lost their parents"
"BRN9"	"Children"
"BRN15"	"Children"
"BRN16"	"Children"
"BRN13"	"Children"
"BRN11"	"Children with change in family"
"BRN12"	"Childrens' families"
"VIEDAG"	"Marriages"
"VIE7"	"Marriages and entered registered partnerships"
"VIE207"	"Marriages between two of different sex"
"VIE6"	"Marriages between two of the same sex"
"VIE307"	"Marriages between two of different sex"
"VIE4"	"Marriages between two of different sex"
"VIE5"	"Marriages between two of different sex"
"BEV3C"	"Marriages and divorces"
"VIE1"	"Average age of males and females getting married"
"SKI6"	"Divorces and dissolved partnerships"
"SKI107"	"Divorces between two of different sex"
"SKI207"	"Divorces between two of different sex"
"SKI3"	"Divorces between two of different sex"
"SKI4"	"Divorces between two of different sex"
"SKI5"	"Divorce rate tabel"
"FLY"	"Total internal migration"
"FLY66"	"Internal migration between municipalities"
"FLY33"	"Internal migration within municipalities"
"FLY55"	"Internal migration between regions"
"UNGFLYT1"	"Young people moving"
"INDVAN"	"Immigration"
"VAN1AAR"	"Immigration"
"VAN1KVT"	"Immigration"
"UDVAN"	"Emigration"
"VAN2AAR"	"Emigration"
"VAN2KVT"	"Emigration"
"BEV3B"	"Immigration and emigration"
"FV15TOT"	"Election to the Parliament 2015"
"FV15S01"	"Election to the Parliament 2015 in Kbenhavns Storkreds"
