isic	ind	gdpbyindustry_industry_key	gdpbyindustry_industry_desc	nipa_185_seriescode	nipa_185_linedescription	nipa_189_seriescode	nipa_189_linedescription	nipa_193_seriescode	nipa_193_linedescription	nipa_197_seriescode	nipa_197_linedescription	nipa_209_seriescode	nipa_209_linedescription	fixedassets_seriescode	fixedassets_linedescription	fixedassets_57_seriescode	fixedassets_57_linedescription
DTOTAL	NALL	GDP	"Gross domestic product (A,Q)"	A033RC	Compensation of employees	A034RC	Wages and salaries	A4201C	Full-time and part-time employees	A4301C	Full-time equivalent employees	A4601C	Persons engaged in production	ptotl1es00	Private fixed assets	ptotl1eq00	Private fixed assets
	NII	II	"All industries (A,Q)"	A4002C	Domestic industries	A4102C	Domestic industries	A4202C	Domestic industries	A4302C	Domestic industries	A4602C	Domestic industries				
	NPVT	PVT	"Private industries (A,Q)"	A4003C	Private industries	A4103C	Private industries	A4203C	Private industries	A4303C	Private industries	A4603C	Private industries				
D01T03	N11	11	"Agriculture, forestry, fishing, and hunting (A,Q)"	N4004C	"Agriculture, forestry, fishing, and hunting"	N4104C	"Agriculture, forestry, fishing, and hunting"	N4204C	"Agriculture, forestry, fishing, and hunting"	N4304C	"Agriculture, forestry, fishing, and hunting"	N4604C	"Agriculture, forestry, fishing, and hunting"	n11001es00	"Agriculture, forestry, fishing, and hunting"	n11001eq00	"Agriculture, forestry, fishing, and hunting"
D01	N111CA	111CA	Farms (A)	N4005C	Farms	N4105C	Farms	N4205C	Farms	N4305C	Farms	N4605C	Farms	n110c1es00	Farms	n110c1eq00	Farms
D02	N113FF	113FF	"Forestry, fishing, and related activities (A)"	N4006C	"Forestry, fishing, and related activities"	N4106C	"Forestry, fishing, and related activities"	N4206C	"Forestry, fishing, and related activities"	N4306C	"Forestry, fishing, and related activities"	N4606C	"Forestry, fishing, and related activities"	n113f1es00	"Forestry, fishing, and related activities"	n113f1eq00	"Forestry, fishing, and related activities"
D05T09	N21	21	"Mining (A,Q)"	N4007C	Mining	N4107C	Mining	N4207C	Mining	N4307C	Mining	N4607C	Mining	n21001es00	Mining	n21001eq00	Mining
D06	N211	211	Oil and gas extraction (A)	N4008C	Oil and gas extraction	N4108C	Oil and gas extraction	N4208C	Oil and gas extraction	N4308C	Oil and gas extraction	N4608C	Oil and gas extraction	n21101es00	Oil and gas extraction	n21101eq00	Oil and gas extraction
D07T08	N212	212	"Mining, except oil and gas (A)"	N4009C	"Mining, except oil and gas"	N4109C	"Mining, except oil and gas"	N4209C	"Mining, except oil and gas"	N4309C	"Mining, except oil and gas"	N4609C	"Mining, except oil and gas"	n21201es00	"Mining, except oil and gas"	n21201eq00	"Mining, except oil and gas"
D09	N213	213	Support activities for mining (A)	N4010C	Support activities for mining	N4110C	Support activities for mining	N4210C	Support activities for mining	N4310C	Support activities for mining	N4610C	Support activities for mining	n21301es00	Support activities for mining	n21301eq00	Support activities for mining
D35	N22	22	"Utilities (A,Q)"	N4011C	Utilities	N4111C	Utilities	N4211C	Utilities	N4311C	Utilities	N4611C	Utilities	n22001es00	Utilities	n22001eq00	Utilities
D41T43	N23	23	"Construction (A,Q)"	N4012C	Construction	N4112C	Construction	N4212C	Construction	N4312C	Construction	N4612C	Construction	n23001es00	Construction	n23001eq00	Construction
D10T33	N31G	31G	"Manufacturing (A,Q)"	N4013C	Manufacturing	N4113C	Manufacturing	N4213C	Manufacturing	N4313C	Manufacturing	N4613C	Manufacturing	n31gd1es00	Manufacturing	n31gd1eq00	Manufacturing
	N33DG	33DG	"Durable goods (A,Q)"	N4014C	Durable goods	N4114C	Durable goods	N4214C	Durable goods	N4314C	Durable goods	N4614C	Durable goods	n33dg1es00	Durable goods	n33dg1eq00	Durable goods
D16	N321	321	Wood products (A)	N4015C	Wood products	N4115C	Wood products	N4215C	Wood products	N4315C	Wood products	N4615C	Wood products	n32101es00	Wood products	n32101eq00	Wood products
D23	N327	327	Nonmetallic mineral products (A)	N4016C	Nonmetallic mineral products	N4116C	Nonmetallic mineral products	N4216C	Nonmetallic mineral products	N4316C	Nonmetallic mineral products	N4616C	Nonmetallic mineral products	n32701es00	Nonmetallic mineral products	n32701eq00	Nonmetallic mineral products
D24	N331	331	Primary metals (A)	N4017C	Primary metals	N4117C	Primary metals	N4217C	Primary metals	N4317C	Primary metals	N4617C	Primary metals	n33101es00	Primary metals	n33101eq00	Primary metals
D25	N332	332	Fabricated metal products (A)	N4018C	Fabricated metal products	N4118C	Fabricated metal products	N4218C	Fabricated metal products	N4318C	Fabricated metal products	N4618C	Fabricated metal products	n33201es00	Fabricated metal products	n33201eq00	Fabricated metal products
D28	N333	333	Machinery (A)	N4019C	Machinery	N4119C	Machinery	N4219C	Machinery	N4319C	Machinery	N4619C	Machinery	n33301es00	Machinery	n33301eq00	Machinery
D26	N334	334	Computer and electronic products (A)	N4020C	Computer and electronic products	N4120C	Computer and electronic products	N4220C	Computer and electronic products	N4320C	Computer and electronic products	N4620C	Computer and electronic products	n33401es00	Computer and electronic products	n33401eq00	Computer and electronic products
D27	N335	335	"Electrical equipment, appliances, and components (A)"	N4021C	"Electrical equipment, appliances, and components"	N4121C	"Electrical equipment, appliance, and components"	N4221C	"Electrical equipment, appliances, and components"	N4321C	"Electrical equipment, appliances, and components"	N4621C	"Electrical equipment, appliances, and components"	n33501es00	"Electrical equipment, appliances, and components"	n33501eq00	"Electrical equipment, appliances, and components"
D29	N3361MV	3361MV	"Motor vehicles, bodies and trailers, and parts (A)"	N4022C	"Motor vehicles, bodies and trailers, and parts"	N4122C	"Motor vehicles, bodies and trailers, and parts"	N4222C	"Motor vehicles, bodies and trailers, and parts"	N4322C	"Motor vehicles, bodies and trailers, and parts"	N4622C	"Motor vehicles, bodies and trailers, and parts"	n336m1es00	"Motor vehicles, bodies and trailers, and parts"	n336m1eq00	"Motor vehicles, bodies and trailers, and parts"
D30	N3364OT	3364OT	Other transportation equipment (A)	N4023C	Other transportation equipment	N4123C	Other transportation equipment	N4223C	Other transportation equipment	N4323C	Other transportation equipment	N4623C	Other transportation equipment	n336o1es00	Other transportation equipment	n336o1eq00	Other transportation equipment
