ind	wz08g3	label
D01	WZ08-01	"Landwirtschaft, Jagd und verbundene Tätigkeiten"
D02	WZ08-021	"Forstwirtschaft"
D03	WZ08-031	"Fischerei"
D10T12	WZ08-10-01	"Ernährungsgewerbe und Tabakverarbeitung"
D13T15	WZ08-13-01	"Textil- und Bekleidungsgewerbe"
D16	WZ08-16	"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)"
D16T18	WZ08-16-01	"H.v. Holzwaren, Papier und Druckerzeugnissen"
D17	WZ08-17	"Herstellung von Papier, Pappe und Waren daraus"
D18	WZ08-18	"H.v. Druckerz., Vervielf.v.Ton-,Bild-,Datenträgern"
D19	WZ08-19	"Kokerei und Mineralölverarbeitung"
D20	WZ08-20	"Herstellung von chemischen Erzeugnissen"
D21	WZ08-21	"Herstellung von pharmazeutischen Erzeugnissen"
D22	WZ08-22	"Herstellung von Gummi- und Kunststoffwaren"
D22T23	WZ08-22-01	"H.v. Gummi-, Kunststoff-, Glaswaren, Keramik u.Ä."
D23	WZ08-23	"H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden"
D24	WZ08-24	"Metallerzeugung und -bearbeitung"
D24T25	WZ08-24-01	"Metallgewerbe"
D25	WZ08-25	"Herstellung von Metallerzeugnissen"
D26	WZ08-26	"H.v. DV-Geräten, elektron. u. opt. Erzeugnissen"
D27	WZ08-27	"Herstellung von elektrischen Ausrüstungen"
D28	WZ08-28	"Maschinenbau"
D29	WZ08-29	"Herstellung von Kraftwagen und Kraftwagenteilen"
D29T30	WZ08-29-01	"Fahrzeugbau"
D30	WZ08-30	"Sonstiger Fahrzeugbau"
D31T33	WZ08-31-01	"Möbelherstellung, Installation von Maschinen"
D31T32	WZ08-31-02	"Herstellung von Möbeln und sonstigen Waren"
D33	WZ08-33	"Reparatur u.Installation von Masch.u.Ausrüstungen"
D36	WZ08-36	"Wasserversorgung"
D37T39	WZ08-37-01	"Abwasser-, Abfallentsorgung, Rückgewinnung"
D45	WZ08-45	"Kfz-Handel, Instandhaltung und Reparatur von Kfz"
D46	WZ08-46	"Großhandel (ohne Handel mit Kraftfahrzeugen)"
D47	WZ08-47	"Einzelhandel (ohne Handel mit Kraftfahrzeugen)"
D49	WZ08-49	"Landverkehr und Transport in Rohrfernleitungen"
D50	WZ08-50	"Schifffahrt"
D51	WZ08-51	"Luftfahrt"
D52	WZ08-52	"Lagerei, sonstige Dienstleistungen für den Verkehr"
D53	WZ08-53	"Post-, Kurier- und Expressdienste"
D58	WZ08-58	"Verlagswesen"
D58T60	WZ08-58-01	"Verlagswesen, audio-visual media and Rundfunk"
D59T60	WZ08-59-01	"Audiovisuelle Medien und Rundfunk"
D61	WZ08-61	"Telekommunikation"
D62T63	WZ08-62-01	"IT- und Informationsdienstleister"
D64	WZ08-64	"Erbringung von Finanzdienstleistungen"
D65	WZ08-65	"Versicherungen, Rückversicherungen, Pensionskassen"
D66	WZ08-66	"Mit Finanz- u. Versicherungsdienstl. verb. Tätigk."
D69T71	WZ08-69-01	"Unternehmensnahe Beratungsleistungen"
D69T70	WZ08-69-02	"Rechts- und Steuerberatung, Unternehmensberatung"
D71	WZ08-71	"Architektur-,Ing.büros,techn.,physik.Untersuchung"
D72	WZ08-72	"Forschung und Entwicklung"
D73	WZ08-73	"Werbung und Marktforschung"
D73T75	WZ08-73-01	"Sonst.freiberufl., wissenschaftl., techn. Dienstl."
D74T75	WZ08-74-01	"Freiberufl.,wiss.,techn.DL a.n.g., Veterinärwesen"
D77	WZ08-77	"Vermietung von beweglichen Sachen"
D78	WZ08-78	"Vermittlung und Überlassung von Arbeitskräften"
D79	WZ08-79	"Reisebüros, -veranstalter u. sonst. Reservierungen"
D80T82	WZ08-80-01	"Unternehmensdienstleister a.n.g."
D86	WZ08-86	"Gesundheitswesen"
D87T88	WZ08-87-01	"Heime und Sozialwesen"
D90T92	WZ08-90-01	"Kunst und Kultur, Glücksspiel"
D93	WZ08-93	"Dienstleistungen d.Sports,d.Unterhaltg.u.Erholung"
D94	WZ08-94	"Interessenvertr., kirchl. u. sonst. Vereinigungen"
D95	WZ08-95	"Reparatur von DV-Geräten und Gebrauchsgütern"
D96	WZ08-96	"Sonstige überwiegend persönliche Dienstleistungen"
D01T03	WZ08-A	"Land- und Forstwirtschaft, Fischerei"
DTOTAL	WZ08-A-02	"Alle Wirtschaftsbereiche"
D05T09	WZ08-B	"Bergbau und Gewinnung von Steinen und Erden"
NA	WZ08-B-05	"Produzierendes Gewerbe"
D05T39	WZ08-B-18	"Produzierendes Gewerbe ohne Baugewerbe"
D10T33	WZ08-C	"Verarbeitendes Gewerbe"
D35	WZ08-D	"Energieversorgung"
D36T39	WZ08-E	"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
D41T43	WZ08-F	"Baugewerbe"
D45T47	WZ08-G	"Handel, Instandhaltung und Reparatur von Kfz"
D45T56	WZ08-G-01	"Handel, Verkehr, Gastgewerbe"
D45T99	WZ08-G-04	"Dienstleistungsbereiche"
D49T53	WZ08-H	"Verkehr und Lagerei"
D55T56	WZ08-I	"Gastgewerbe"
D58T63	WZ08-J	"Information und Kommunikation"
D64T66	WZ08-K	"Erbringung von Finanz- und Versicherungsleistungen"
D68	WZ08-L	"Grundstücks- und Wohnungswesen"
D69T75	WZ08-M	"Freiberufliche, wiss. u. techn. Dienstleistungen"
D69T82	WZ08-M-02	"Unternehmensdienstleister"
D77T82	WZ08-N	"Sonstige wirtschaftliche Dienstleistungen"
D84	WZ08-O	"Öff. Verwaltung, Verteidigung, Sozialversicherung"
D84T88	WZ08-O-03	"Öffentliche Dienstleister, Erziehung, Gesundheit"
D85	WZ08-P	"Erziehung und Unterricht"
D86T88	WZ08-Q	"Gesundheits- und Sozialwesen"
D90T93	WZ08-R	"Kunst, Unterhaltung und Erholung"
D90T99	WZ08-R-02	"Sonstige Dienstleister"
D94T96	WZ08-S	"Erbringung von sonstigen Dienstleistungen"
D97T98	WZ08-T	"Private Haushalte"
