var	price	unit	asset
VALU	VGRJPM	BWS001	NA
VKOT	VGRPKM	BWS001	NA
PROD	VGRJPM	PRO013	NA
PKOT	VGRPKM	PRO013	NA
INTI	VGRJPM	VLST01	NA
IKOT	VGRPKM	VLST01	NA
INTI	VGRJPM	VLST01	NA
GOPS	VGRJPM	VGR065	NA
NOPS	VGRJPM	VGR072	NA
OTXS	VGRJPM	VGR073	NA
CFCC	VGRJPM	ABS002	NA
EMPN	VGRJPM	ERW002	NA
EMPE	VGRJPM	ERW005	NA
LABR	VGRJPM	ETG003	NA
WAGE	VGRJPM	VST005	NA
HRSN	VGRJPM	STD009	NA
HRSE	VGRJPM	STD010	NA
GFCF	VGRJPM	VGR041	VGRANLART001
GKOT	VGRPKM	VGR041	VGRANLART001
CAPG	VGRWP01	VGR069	VGRANLART001
CGOT	VGRPKM	VGR069	VGRANLART001
CAPN	VGRWP01	VGR074	VGRANLART001
CNOT	VGRPKM	VGR074	VGRANLART001
