"var"	"topic"	"title"
NA	"SectorBranchesSIC2008"	"Sector/branches (SIC 2008)"
NA	"Periods"	"Periods"
NA	""	"Value added from the output"
NA	""	"Value at current prices"
"PROD"	"OutputBasicPrices_1"	"Output basic prices"
"INTI"	"IntermediateConsumption_2"	"Intermediate consumption (-)"
"VALU"	"GrossValueAddedBasicPrices_3"	"Gross value added basic prices"
NA	""	"Value at prices of 2010"
NA	"OutputBasicPrices_4"	"Output basic prices"
NA	"IntermediateConsumption_5"	"Intermediate consumption (-)"
NA	"GrossValueAddedBasicPrices_6"	"Gross value added basic prices"
NA	""	"Volume changes on previous year"
NA	"OutputBasicPrices_7"	"Output basic prices"
NA	"IntermediateConsumption_8"	"Intermediate consumption (-)"
NA	"GrossValueAddedBasicPrices_9"	"Gross value added basic prices"
NA	""	"Price indices"
"PKOT"	"OutputBasicPrices_10"	"Output basic prices"
"IKOT"	"IntermediateConsumption_11"	"Intermediate consumption (-)"
"VKOT"	"GrossValueAddedBasicPrices_12"	"Gross value added basic prices"
NA	""	"Value added from generation of income"
NA	""	"Value at current prices"
NA	""	"Compensation of employees"
NA	"Total_13"	"Total"
"WAGE"	"WagesAndSalaries_14"	"Wages and salaries"
"CONTRIB"	"EmployersSocialContributions_15"	"Employers' social contributions"
NA	""	"Gross operating surplus"
"GOPS"	"Gross_16"	"Gross"
"CFCC"	"ConsumptionOfFixedCapital_17"	"Consumption of fixed capital (-)"
"NOPS"	"Net_18"	"Net"
NA	""	"Other taxes, subsidies on production"
"OTXS"	"TaxesLessSubsidies_19"	"Taxes less subsidies"
NA	"OtherTaxesOnProduction_20"	"Other taxes on production"
NA	"OtherSubsidiesOnProduction_21"	"Other subsidies on production"
NA	"GrossValueAddedBasicPrices_22"	"Gross value added basic prices"
